n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
7,"LAND_SF, LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39296772196485563,0.5613544948356958,-0.8239562805179108,997449.0049443694,1.0,
8,"LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.392364988330303,0.5616331153481793,-0.8064631638271158,994144.1324289901,1.0,
7,"LAND_SF, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.391628661546062,0.5619733033647957,-0.08449184409174637,937763.1540542745,1.0,
7,"LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.39154401603648403,0.5620123969735296,0.44436168741749515,879084.3690736586,1.0,
4,"BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.3914850874777368,0.562039611578682,-2.5249223466943294,1115239.0673042051,1.0,
7,"YR_BUILT, LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.39143562192908865,0.5620624549241849,-0.2921464716217854,951700.9798261672,1.0,
7,"YR_BUILT, LIVING_AREA, BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3912793545995995,0.5621346135686476,0.375736068001548,886449.9150517075,1.0,
6,"LAND_SF, BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.3912393624349435,0.5621530790264596,0.44336694687597544,892152.1206756394,1.0,
8,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.39120560089794953,0.5621686671637887,0.1458238790455213,885753.3550422046,1.0,
8,"LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39117556035297574,0.5621825369076865,-0.9014498356814338,1012670.3668430533,1.0,
