n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error,balanced_holdout_score
6,"LIVING_AREA, LAND_SF, GROSS_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7437919448300641,0.30698945796353894,0.7655102468095382,309176.6270829335,1.0,,
6,"LIVING_AREA, GROSS_AREA, YR_BUILT, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.70726725106533,0.32814268522211154,0.7654943317509099,323630.0982983433,1.0,,
5,"LIVING_AREA, GROSS_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7431505314812585,0.3073734897060105,0.7649606417343162,309628.85126199794,1.0,,
6,"LIVING_AREA, GROSS_AREA, INT_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7438272264455946,0.3069683199534068,0.7648178570663298,309602.16632497316,1.0,,
6,"LIVING_AREA, LAND_SF, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7401630780820606,0.3091558747014909,0.7644771619509192,310187.4638906671,1.0,,
6,"LIVING_AREA, LAND_SF, GROSS_AREA, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7150357005142381,0.3237593351021242,0.7641589207416742,320617.1146358947,1.0,,
6,"LIVING_AREA, RES_FLOOR, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7392098105567462,0.30972245786451513,0.7640901548933713,311017.4407858361,1.0,,
6,"LIVING_AREA, YR_BUILT, BLDG_TYPE, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7391318353553332,0.30976875727884023,0.7639884697565635,311083.0276501959,1.0,,
6,"LIVING_AREA, INT_COND, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7392035029644302,0.3097262033872799,0.7639767191755302,311043.63728922594,1.0,,
6,"LU, LIVING_AREA, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.739131057436643,0.3097692191495454,0.7639728891679027,311082.91646850616,1.0,,
6,"LAND_SF, GROSS_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.741359084992145,0.30844354516313593,0.7639663855275505,315972.84540565824,1.0,,
6,"LIVING_AREA, OVERALL_COND, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7391350122715536,0.3097668710533073,0.7639344140557822,311092.0709369975,1.0,,
6,"LIVING_AREA, OVERALL_COND, RES_FLOOR, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.755256301641348,0.3000425386400316,0.7639188961160345,303965.7109523375,1.0,,
5,"LIVING_AREA, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7390667727756082,0.30980738425731263,0.7639064088929952,311130.8573173425,1.0,,
5,"LAND_SF, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7790312181212936,0.28509692486465477,0.7637141249269582,269651.0227718803,1.0,,
6,"LU, INT_COND, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8205603698405335,0.256913103161151,0.7625976020960372,265293.4101919697,1.0,,
6,"LAND_SF, OVERALL_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7817913673526437,0.283310738444598,0.7624788635542569,274126.8779952904,1.0,,
6,"LAND_SF, INT_COND, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.77966329064555,0.28468887857594577,0.7622133329520091,269166.55170828704,1.0,,
